reviewer,rating,date,review
Kim Mr.,5,12 小時前，評論出處： Google,商務人士 ❘ 獨自旅行 (由 Google 提供翻譯) 房間非常乾淨整潔。
劉春芳,5,2 天前，評論出處： Google,除夕夜團圓，氣氛很好 其他 7 項
156_林俊雄,5,3 天前，評論出處： Google,Wei Chen 曾經在裕元住幾個月，非常喜歡這裡的員工，但是我希望要求女性員工梳整齊包頭、穿裙子、穿不符合人體工學的鞋子之外，也注意一下男員工的外表，尤其是早餐區的男員工，衣服看起來不整潔又皺、頭髮亂七八糟的。我知道幾年前櫃檯的女性員工穿的制服更誇張，現在已經有改了，但希望可以更好。男性顧客眼裡都是好看的風景，那女性顧客呢？ 自助餐廳菜色不錯，氣氛很好
9241 Harvie葡眾珍珠,5,5 天前，評論出處： Google,Brad WU
胡瑋晴,1,上次編輯：1 週前，評論出處： Google,這次入住台中裕元花園酒店的經驗讓我有點失望。 親愛的胡瑋晴您好，謝謝您的回饋跟建議，很抱歉這次讓您的體驗不如預期，已收到您的寶貴建議並轉告給相關團隊夥伴，這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，請提供聯絡方式，我們將竭盡所能協助您，祝您身體健康、平安順心。 Sky Tu
liu andy,5,1 週前，評論出處： Google,"設備好。泳池。三溫暖。健身房。有專業教練。房間很乾淨。還有過濾水。氣泡水 。櫃台很禮貌親切。離逢甲商圈近。有機會還會來回訪 附近的活動好喔,東海大學 步行友善程度Good 餐飲地點飯店內就有喔，旁邊也有麥當勞"
王孟偉,4,1 週前，評論出處： Google,麻子（張麻子）
高其安,5,1 週前，評論出處： Google,Steven H 商務人士 ❘ 朋友 廖約棆（ALLEN LIAO）
jaky Lo,4,1 週前，評論出處： Google,飯店就在市區，所以出門算方便，住的是較高的樓層，視野景觀都還算不錯，住房房間內也算是蠻明亮潔淨，早餐是採自助式餐廳提供各項中西式美食，選擇性也算蠻高的，是可以推薦住宿選擇的飯店…… 其他 24 項 Albert Lai
Max Wang,5,1 週前，評論出處： Google,
陳靖平,5,1 週前，評論出處： Google,Vojtech Ponrt ChungLi Chang張忠立 親愛的ChungLi Chang張忠立您好，謝謝您的回饋跟建議，很抱歉這次讓您的體驗不如預期，關於您的建議也已經轉告給相關同仁知悉，這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，請提供聯絡方式，我們將竭盡所能協助您，祝您身體健康、平安順心。
James Yang,4,1 週前，評論出處： Google,商務人士 ❘ 獨自旅行 Paul Jean
Jimmy,5,2 週前，評論出處： Google,
A-ash LIN,5,2 週前，評論出處： Google,Morris Liu 三溫暖雖不大但很乾凈、健身房設備多，床跟棉被很舒服
Jasmine White,5,2 週前，評論出處： Google,在這裡預約開會議，真是優質的酒店！
Adan ijh666,4,2 週前，評論出處： Google,"王粑淡（耶穌,是我唯一喜樂） 商務人士 ❘ 夫妻/情侶 房間靜謐、 幽懿、 念大學承恩， 通達、 黜灼、 轉化為光影。 重要須知瑪門隨行.. 那是必須的！ 重中之重..！"
呂曉慧,3,3 週前，評論出處： Google,親愛的呂曉慧您好：感謝您的回饋及評價，若有我們可以做到更好的地方，也請您不吝與我們告知！這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，盼您能夠留下聯繫方式及提供更多細節，我們將竭盡所能協助您，祝您身體健康、平安順心。 商務人士 ❘ 朋友
Hedy,5,3 週前，評論出處： Google,Yaling Ling Hsieh 入住日期2026.02.14.-15.
阿鈴鈴,5,3 週前，評論出處： Google,其他 37 項 Felix Hsiao 親愛的Felix Hsiao您好：感謝您的回饋及評價，若有我們可以做到更好的地方，也請您不吝與我們告知！這是裕元花園酒店的客服信箱guestservice@windsortaiwan.com，盼您能夠留下聯繫方式及提供更多細節，我們將竭盡所能協助您，祝您身體健康、平安順心。
Mousy Happy,5,3 週前，評論出處： Google,下午茶好吃🥰 Maximus Yuan 商務人士 ❘ 獨自旅行
Willis Hsu,5,3 週前，評論出處： Google,第一次全家入住，非常棒的體驗，
257愛吾妻結婚禮車,5,3 週前，評論出處： Google,環境優美 迎賓車道很優 Viola Lu 春節期間飯店佈置很喜氣，房間採光好、視野佳，空間很夠用，充電插座配置很人性，零食看的出是用心準備的！ 早餐不用特別分流、沒限時段，讓大家都能夠在自己喜歡的時間舒適的享用，真的是很棒！
iphonejsy,5,1 個月前，評論出處： Google,整體質感超好；看起來很舒適喔！用餐環境潔淨寬敞很棒，讓您會想再來用餐！ 餐飲地點溫莎咖啡廳 其他 4 項
W T,4,上次編輯：1 個月前，評論出處： Google,商務人士 ❘ 夫妻/情侶 該飯店本身隸屬於寶成集團 地點絕佳 離中港交流道很近 適合公司尾牙春酒/醫學研討會 國外/國內商務貴賓入住 923a Chih 入住多次感受都相當不錯，對此飯店評價相當高。
