reviewer,rating,date,review
Kim Mr.,5,12 小時前,房間非常乾淨整潔。
劉春芳,5,2 天前,除夕夜團圓，氣氛很好
156_林俊雄,5,3 天前,曾經在裕元住幾個月，非常喜歡這裡的員工，但是我希望要求女性員工梳整齊包頭、穿裙子、穿不符合人體工學的鞋子之外，也注意一下男員工的外表，尤其是早餐區的男員工，衣服看起來不整潔又皺、頭髮亂七八糟的。我知道幾年前櫃檯的女性員工穿的制服更誇張，現在已經有改了，但希望可以更好。男性顧客眼裡都是好看的風景，那女性顧客呢？ 自助餐廳菜色不錯，氣氛很好
9241 Harvie葡眾珍珠,5,5 天前,
胡瑋晴,1,1 週前,這次入住台中裕元花園酒店的經驗讓我有點失望。
liu andy,5,1 週前,"設備好。泳池。三溫暖。健身房。有專業教練。房間很乾淨。還有過濾水。氣泡水 。櫃台很禮貌親切。離逢甲商圈近。有機會還會來回訪 附近的活動好喔,東海大學 步行友善程度Good"
王孟偉,4,1 週前,
高其安,5,1 週前,
jaky Lo,4,1 週前,飯店就在市區，所以出門算方便，住的是較高的樓層，視野景觀都還算不錯，住房房間內也算是蠻明亮潔淨，早餐是採自助式餐廳提供各項中西式美食，選擇性也算蠻高的，是可以推薦住宿選擇的飯店……
Max Wang,5,1 週前,
陳靖平,5,1 週前,
James Yang,4,1 週前,
Jimmy,5,2 週前,
A-ash LIN,5,2 週前,三溫暖雖不大但很乾凈、健身房設備多，床跟棉被很舒服
Jasmine White,5,2 週前,在這裡預約開會議，真是優質的酒店！
Adan ijh666,4,2 週前,"王粑淡（耶穌,是我唯一喜樂） 房間靜謐、 幽懿、 念大學承恩， 通達、 黜灼、 轉化為光影。 重要須知瑪門隨行.. 那是必須的！ 重中之重..！"
呂曉慧,3,3 週前,
Hedy,5,3 週前,
阿鈴鈴,5,3 週前,
Mousy Happy,5,3 週前,
Willis Hsu,5,3 週前,第一次全家入住，非常棒的體驗，
257愛吾妻結婚禮車,5,3 週前,環境優美 迎賓車道很優 春節期間飯店佈置很喜氣，房間採光好、視野佳，空間很夠用，充電插座配置很人性，零食看的出是用心準備的！ 早餐不用特別分流、沒限時段，讓大家都能夠在自己喜歡的時間舒適的享用，真的是很棒！
iphonejsy,5,1 個月前,整體質感超好；看起來很舒適喔！用餐環境潔淨寬敞很棒，讓您會想再來用餐！
W T,4,1 個月前,該飯店本身隸屬於寶成集團 地點絕佳 離中港交流道很近 適合公司尾牙春酒/醫學研討會 國外/國內商務貴賓入住 入住多次感受都相當不錯，對此飯店評價相當高。
Mika6745,5,1 個月前,整體體驗依然是5星飯店的水準，不過房間內地毯開始有老舊的現象 床仍然是好睡，室內停車方便整潔，早餐豐富 之前去住過，然後飯店人員好心的幫我收東西，但是我的個人用品不見了，當時就想說想要自己收，但是飯店就堅持，後來東西不見，打去飯店問飯店說沒有收，沒有看到那個東西，但我確定東西不在我身上，感覺很差，大家要注意，小心飯店跟飯店人員的安全性是否正常、有做到，要注意他們。
KC Lee,5,1 個月前,
Wan Yun Llee,4,1 個月前,沒住宿，溫莎咖啡廳的餐點不錯 每年過年都會請老闆娘插花，增添家裡過年氛圍！非常喜歡～超級感謝老闆娘
chang susan,5,1 個月前,CP值高的飯店，論乾淨程度以及房間舒適性，這裡絕對是台中的首選 停車常常滿位 早餐品質普通
YuHsuan Chen,5,1 個月前,
Cecilia Yang,5,1 個月前,
葉佳惠（小葉）,4,1 個月前,
Tony Tseng,5,1 個月前,
Robin,4,1 個月前,來台中一定住裕元花園，前後也20年了，依然維持很好，三溫暖超讚
& Love Living Peace,5,1 個月前,
Joy Ju,5,1 個月前,
Alvin,5,1 個月前,
蔡照龍,3,1 個月前,自助餐好吃，可惜！時間短，下次吃午餐或晚餐就不會那麼趕了。
Jamie Ch.,5,1 個月前,台北走國道一號，下來好像很快就到了 地點很方便，
Jimmy Liang,5,1 個月前,房間景觀絕佳，泳池三溫暖完善，早餐豐盛美味。台中出差首選。 中式餐廳 包場的荷葉糯米雞好吃，但是菜單怎麼找不到
YU Davy,1,1 個月前,從台積電一張一百多塊到現在快1800，7樓健身房男三溫暖中間那間浴室蓮蓬頭還是壞掉的。
Fu Cheng,5,1 個月前,去過兩次假日與平日菜色真的有落差，建議假日去吃！雖然貴了些 請飯店協助宣導，旅客禁止在福安公園內吸菸，一群外國人10幾個成人在福安公園吸菸，二手煙害嚴重，並且沙坑及草皮上都有不少煙蒂，十分不恰當
顏宏宇,5,1 個月前,
Jiang,5,1 個月前,地下一樓buffet 好吃酥皮濃湯下午茶才有
GiGi Huang,5,1 個月前,
GTP GRUPPE,3,1 個月前,"裕元花園酒店 $4,139 3月23日至24日"
